S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name
b'34965.',b'29-Sep-2020 12:00 AM',b'13-Jul-2020 02:20 PM',b'SH Construction of approach road  SH Retaining Wall Earth filling  Metalling Carpetting  Block pitching Pucca Drain Etc/ 05/PNIeT/EE/PWD/SBM/2020-21 / 2020_CEPWD_11319_1',b'Tripura',b'2020_CEPWD_11319_1'
b'34966.',b'27-Jul-2020 02:08 PM',b'13-Jul-2020 02:17 PM',"b'Providing of 4 nos. of 9 mtrs MS tubular poles at Quarters of Central Prison, Chanchalguda Jail in Chawni division Malakpet Circle -6 and Constituency/ NIT. No: 12/EE (Elect.)CMRZ/GHMC/AET/2020-21, Item No: 2, dated: 13-07-2020 / 184953'",b'Telegana',b'184953'
b'34967.',b'13-Aug-2020 12:00 AM',b'13-Jul-2020 02:00 PM',b'Covid 19 Prevention/ Covid 19-933/A4/2020 / 2020_DoTE_171138_1',b'Tamil Nadu',b'2020_DoTE_171138_1'
b'34968.',b'19-Nov-2020 12:00 AM',b'13-Jul-2020 02:00 PM',"b'CONSTRUCTION WORK OF C.C. ROAD AND BOX CULVERT OF 4000 MT GODOWN OF MARKFED AT DHATURIA, DISTT. VIDISHA. 1st Call./ MPSCMFL_ENGG 813 / 2020_SCMFL_97723_1'",b'Madhya Pradesh',b'2020_SCMFL_97723_1'
b'34969.',b'08-Sep-2020 12:00 AM',b'13-Jul-2020 02:00 PM',b'Deposite work jalanidhi Thennala GP.restoration work in Venniyoor Paramba  Tanur road km 0/190 to 2/600  in Tirurangadi LAC/ D5/RD/2019/ 4611 / 2020_PWD_371486_1',b'Kerala',b'2020_PWD_371486_1'
b'34970.',b'24-Jul-2020 12:00 AM',b'13-Jul-2020 02:00 PM',b'PROVIDING CONCRETE PAVERS AT BHIM NAGAR/ eTENDER/HIWARASANGAM/2020-21/1 / 2020_YAVAT_593922_1',b'Maharashtra',b'2020_YAVAT_593922_1'
b'34951.',b'22-Oct-2020 12:00 AM',b'13-Jul-2020 03:00 PM',"b'Const. of Building of Govt. College for women, Ambala City (Pdg. 3D Hologram, Virtual reality based educational modules for post graduate colleges)./ PWD/Elect-KNL/Elect-AMB/100004 / 2020_HRY_135424_1'",b'Haryana',b'2020_HRY_135424_1'
b'34952.',b'19-Aug-2020 12:00 AM',b'13-Jul-2020 03:00 PM',b'Providing LED Street Light At-Upalwate Tal-Madha Dist-Solapur/ 01/2020-21 / 2020_SOLAP_593964_1',b'Maharashtra',b'2020_SOLAP_593964_1'
b'34953.',b'19-Aug-2020 12:00 AM',b'13-Jul-2020 03:00 PM',b'Sidhan village laying of pipe line and FHTC connection/ No. 6740-6796 dt. 07/07/2020 / 2020_HRY_135436_1',b'Haryana',b'2020_HRY_135436_1'
b'34954.',b'24-Jul-2020 12:00 AM',b'13-Jul-2020 03:00 PM',b'Civil Work/ D.P.D.C.2019-2020 / 2020_BEED_593384_1',b'Maharashtra',b'2020_BEED_593384_1'
b'34955.',b'16-Sep-2020 12:00 AM',b'13-Jul-2020 03:00 PM',"b'Pattambi LAC-ADS 2019-20, Various Roads in Kulukkalloor GP (High School Madrassa Road, Mullathupadi Valiya Parambu Road Side Protection And Concreting)&amp;#x0d;/ 98/E/20-21 / 2020_LSGD_371113_1'",b'Kerala',b'2020_LSGD_371113_1'
b'34956.',b'20-Oct-2020 12:00 AM',b'13-Jul-2020 03:00 PM',b'LAC ADS 2019-20- TARUR- CONSTRUCTION OF P.H.C. BUILDING IN  KANNAMBRA G.P./ 31/E/20-21 / 2020_LSGD_362440_2',b'Kerala',b'2020_LSGD_362440_2'
