S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name
b'34411.',b'24-Jul-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'Constraction of cement concreate road from Suratganj Pitch road to Das para/ 08/SIRSHAGP/CFCG/2020-2021 / 2020_ZPHD_289619_1',b'West Bengal',b'2020_ZPHD_289619_1'
b'34412.',b'02-Nov-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'Construction/ 47/EEBK/2020-2021 / 2020_PWD_371793_1',b'Kerala',b'2020_PWD_371793_1'
b'34413.',b'01-Oct-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'rectification of VCB/ AEE/MISDN/ALY/34/ET/2020-21/S / 2020_Irrig_371745_1',b'Kerala',b'2020_Irrig_371745_1'
b'34414.',b'21-Aug-2020 12:00 AM',b'14-Jul-2020 06:00 PM',"b'Annual / ordinary repair of various link roads (Group No.2) In Palwal Constituency (Road ID H-805, 706, 780, 759, 809/ HSAMB FARIDABAD 2020 / 2020_HBC_135693_1'",b'Haryana',b'2020_HBC_135693_1'
b'34415.',b'07-Dec-2020 12:00 AM',b'14-Jul-2020 06:00 PM',"b'Work contract for complete overhauling servicing with        successful trial of tandem operation of 02  nos. 175/30 T EOT cranes including supply of spares and             consumables installed at 3x105 MW, THPS-I, Sirmour./ 91-84/GS/ Works /827 / 2020_MPPGC_96689_1'",b'Madhya Pradesh',b'2020_MPPGC_96689_1'
b'34416.',b'07-Aug-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'Construction of concrete road from the house of Areshtulla towards Idgha Maidan at Vikanpur/ 08/R-I / Lochanpur/14th FC/2020-21(2nd Call) / 2020_ZPHD_289610_1',b'West Bengal',b'2020_ZPHD_289610_1'
b'34417.',b'01-Oct-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'Provisions included in this estimateare&amp;#x0d;\nproviding patch plastering with polymers providing and fixing precoated&amp;#x0d;\ngalvanised iron profile sheets etc&amp;#x0d;/ PWD/2020-2021/9011/ / 2020_PWD_371791_1',b'Kerala',b'2020_PWD_371791_1'
b'34418.',b'09-Nov-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'Repairing Work of India Mark II Hand pump for block  Maihar Inclusive of Free Service of Departmental Tecnician Under District Satna (M.P.)/ 8 / 2020_PHED_97867_1',b'Madhya Pradesh',b'2020_PHED_97867_1'
b'34419.',b'27-Aug-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'Ward 6 - Shaji Pan Shop - Railway Line road sub road Maintenance/ 19/06/2020 / 2020_LSGD_367093_2',b'Kerala',b'2020_LSGD_367093_2'
b'34420.',b'11-Nov-2020 12:00 AM',b'14-Jul-2020 06:00 PM',"b'Renovation of Causality at Govt. Medical College ,Kozhikode-Electrification/ ELSD/TN/03/2020-21 / 2020_PWD_367560_2'",b'Kerala',b'2020_PWD_367560_2'
b'34401.',b'22-Sep-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'Repairing Work of India Mark II Hand pump for block  Ramnagar Inclusive of Free Service of Departmental Tecnician Under District Satna (M.P.)/ 8 / 2020_PHED_97867_2',b'Madhya Pradesh',b'2020_PHED_97867_2'
b'34402.',b'07-Aug-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'Construction of concrete road from the house of Mostakin Sks towards Mosjid atLochanpur Sekhpara/ 07/R-I /Lochanpur/14th FC/2020-21 (2nd Call) / 2020_ZPHD_289595_1',b'West Bengal',b'2020_ZPHD_289595_1'
b'34403.',b'02-Dec-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'LSGD CMLRRP 2019/20 First Phase Kasaragod District Udma LAC Kanhangad blockPallikara GP Pakkam Kanathumkai Thachangad road re tarring/ 01/2020/AE/LSGD/PK / 2020_LSGD_371688_1',b'Kerala',b'2020_LSGD_371688_1'
b'34404.',b'30-Oct-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'DP Works 2020-21- Kokkayar GP - Enthayaar Puthiyathu kana Road (80/21) tender/ 03/EE/LSGD/IDK/TENDERS/20-21 / 2020_LSGD_369535_10',b'Kerala',b'2020_LSGD_369535_10'
b'34405.',b'22-Oct-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'Refer Tender Document/ RKI-6/EE/LSGD/2020-21 / 2020_LSGD_355788_4',b'Kerala',b'2020_LSGD_355788_4'
b'34406.',b'07-Aug-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'Construction of concrete road from the house of Areshtulla towards Idgha Maidan at Vikanpur/ 08/R-I / Lochanpur/14th FC/2020-21(2nd Call) / 2020_ZPHD_289610_1',b'West Bengal',b'2020_ZPHD_289610_1'
b'34407.',b'29-Sep-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'Sl. No. 01..Internal pipe connection with CIDF and CI.DI pipe and delivery pipe connection with HDPE pipe along with construction of Boundary wall  with drain i.c.w. Reservoir at Head works site  for  PASCHIM SALBARI (ZONE-I)  WATER  SUPPLY  SCHEME/ NIT No. WBPHED/EE/JD/eNIT- 06/2020-21 / 2020_PHED_289606_1',b'West Bengal',b'2020_PHED_289606_1'
b'34408.',b'19-Aug-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'Construction of concrete road from the house of Abdur Rajjak towards Siddiks house at Nawdapara/ 10/R-I / Lochanpur/14th FC/2020-21(2nd Call) / 2020_ZPHD_289665_1',b'West Bengal',b'2020_ZPHD_289665_1'
b'34409.',b'21-Aug-2020 12:00 AM',b'14-Jul-2020 06:00 PM',"b'Annual / ordinary repair of various link roads (group no.1) in Prithla constituency (road ID H-660, 666, 698, 682, 4600)./ HSAMB FARIDABAD 2020 / 2020_HBC_135651_1'",b'Haryana',b'2020_HBC_135651_1'
b'34410.',b'02-Nov-2020 12:00 AM',b'14-Jul-2020 06:00 PM',b'Construction/ 47/EEBK/2020-2021 / 2020_PWD_371793_1',b'Kerala',b'2020_PWD_371793_1'
b'34381.',b'19-Dec-2020 12:00 AM',b'15-Jul-2020 09:00 AM',"b'P/L interlocking tile, DB paving pach work and other work in difference area in Muktsar city./ LG/MC/Sri Muktsar Sahib/2020/06 / 2020_DLG_50541_1'",b'Punjab',b'2020_DLG_50541_1'
b'34382.',b'04-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'P/F Physical and Children games at K.P.Park/ MCJ/(B and R) 2020-21/10 / 2020_DLG_50524_14',b'Punjab',b'2020_DLG_50524_14'
b'34383.',b'27-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Alamkode Grama PAnchayath 2020 21 Mankulam High School road re taring re e tender/ T3/AE/LSGD/ALKD/2020 dt. 14-7-2020 / 2020_LSGD_371819_2',b'Kerala',b'2020_LSGD_371819_2'
b'34384.',b'19-Dec-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Const. of drain type 1 and drain type 2 in chakbir Sarkar road./ LG/MC/Sri Muktsar Sahib/2020/06 / 2020_DLG_50541_4',b'Punjab',b'2020_DLG_50541_4'
b'34385.',b'05-Oct-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'CMLRRP KBD 2020 Renovation work of Kandathilpady Mannumpurathupady Road in ward 1 ofKadampanadu GP/ 2/AE/LSGD/KBD/2020-21 / 2020_LSGD_371638_1',b'Kerala',b'2020_LSGD_371638_1'
b'34386.',b'24-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'CMLRRP 2020-21 Sl No-1363 KANJIRATHARA NAMBIKULATHU KAVU MANGALASERRY ROAD IN PATTUVAM GP/ AE/PTVM/ETEN2/20-21 / 2020_LSGD_371820_2',b'Kerala',b'2020_LSGD_371820_2'
b'34387.',b'12-Nov-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'S0079.21.AMBALATHARA ROAD CONCRETING IN WARD NO.01OF MATTATHUR GP/ e.Tender1.79.21 / 2020_LSGD_371812_1',b'Kerala',b'2020_LSGD_371812_1'
b'34388.',b'19-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',"b'Balance Electrical Work of  6 Nos Type-II Residences and 12 Nos Type-III Residences at RIRD, Dasna, Ghaziabad/ 001/EEE/GZB/E-TENDER/2020-2021 / 2020_SCIDC_493026_1'",b'Uttar Pradesh',b'2020_SCIDC_493026_1'
b'34389.',b'23-Oct-2020 12:00 AM',b'15-Jul-2020 09:00 AM',"b'Supplying, installation, testing and commissioning of 04 Nos. 52 HP 4R 1040 diesel engine coupled with DSM 80/36 pumps 03 Nos. for Swadeshnagar Section and 01 No. for Mayabunder Section under Sub - Division No.IV EM, NACD, APWD, Mayabunder./ NIT NO.10/EE/NACD/2020-21 / 2020_APWD_488_1'",b'Andaman and Nicobar Island',b'2020_APWD_488_1'
b'34390.',b'19-Nov-2020 12:00 AM',b'14-Jul-2020 06:55 PM',b'R/P 2019-20 Improvements to Panmana Asramam- Panayannarkavu Road ch 0/000 to 2/500/ PWD/2019-2020/10749/SOUTHCIR / 2020_PWD_345338_4',b'Kerala',b'2020_PWD_345338_4'
b'34361.',b'08-Oct-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'S0176.21.RENOVATION WORKS TO CHOKKANA CANTEEN ROAD WARD 9 OF MATTATHUR GP/ e.Tender6.176.21 / 2020_LSGD_371625_1',b'Kerala',b'2020_LSGD_371625_1'
b'34362.',b'04-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Const. of 60mm thick interlocking tiles streets opposite tools industry./ MCJ/(B and R) 2020-21/10 / 2020_DLG_50524_44',b'Punjab',b'2020_DLG_50524_44'
b'34363.',b'24-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'CMLRRP 2020-21 Sl No-1363 KANJIRATHARA NAMBIKULATHU KAVU MANGALASERRY ROAD IN PATTUVAM GP/ AE/PTVM/ETEN2/20-21 / 2020_LSGD_371820_2',b'Kerala',b'2020_LSGD_371820_2'
b'34364.',b'04-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Const. of streets of Deep nagar in interlocking tiles./ MCJ/(B and R) 2020-21/10 / 2020_DLG_50524_37',b'Punjab',b'2020_DLG_50524_37'
b'34365.',b'30-Jul-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Vikash khand Airaya ke gram dayalpur me panchayat ghar se Akhilesh ke ghar hokar uday yadav ke ghar tak Interlocking./ 16-343/RED/E-Tender/2020-21 Dated 07.07.2020 / 2020_REDUP_492547_1',b'Uttar Pradesh',b'2020_REDUP_492547_1'
b'34366.',b'19-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',"b'Balance Electrical Work of  6 Nos Type-II Residences and 12 Nos Type-III Residences at RIRD, Dasna, Ghaziabad/ 001/EEE/GZB/E-TENDER/2020-2021 / 2020_SCIDC_493026_1'",b'Uttar Pradesh',b'2020_SCIDC_493026_1'
b'34367.',b'04-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',"b'Const. of lanes in interlocking tiles in New Green Model Town, Shiv Vihar./ MCJ/(B and R) 2020-21/10 / 2020_DLG_50524_32'",b'Punjab',b'2020_DLG_50524_32'
b'34368.',b'04-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',"b'Const. of streets with interlocking tiles in Garden Colony, W.No.31/ MCJ/(B and R) 2020-21/10 / 2020_DLG_50524_31'",b'Punjab',b'2020_DLG_50524_31'
b'34369.',b'04-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'P/L of cement concrete in the streets of SUS Nagar Part-1/ MCJ/(B and R) 2020-21/10 / 2020_DLG_50524_18',b'Punjab',b'2020_DLG_50524_18'
b'34370.',b'30-Jul-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Vikash khand Teliyani ke gram Kasimpur bibihat me Suresh lodhi ke ghar se Ramnaresh ke ghar tak C.C.Road Nirman./ 08-343/RED/E-Tender/2020-21 Dated 07.07.2020 / 2020_REDUP_492522_1',b'Uttar Pradesh',b'2020_REDUP_492522_1'
b'34341.',b'19-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Construction of Roads in CC and Drain in Jamsher Dairy Complex/ MCJ/(B and R) 2020-21/10 / 2020_DLG_50524_4',b'Punjab',b'2020_DLG_50524_4'
b'34342.',b'27-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Alamkode Grama PAnchayath 2020 21 Mankulam High School road re taring re e tender/ T3/AE/LSGD/ALKD/2020 dt. 14-7-2020 / 2020_LSGD_371819_2',b'Kerala',b'2020_LSGD_371819_2'
b'34343.',b'31-Jul-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'P/F Interlocking tiles in Kohinoor Enclave Ward No.-8/ MCJ/(B and R) 2020-21/10 / 2020_DLG_50524_51',b'Punjab',b'2020_DLG_50524_51'
b'34344.',b'12-Nov-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'S0079.21.AMBALATHARA ROAD CONCRETING IN WARD NO.01OF MATTATHUR GP/ e.Tender1.79.21 / 2020_LSGD_371812_1',b'Kerala',b'2020_LSGD_371812_1'
b'34345.',b'30-Sep-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Construction of Bitumenous Road from Jagdambanagar board to Mahalaxminagar board to Abhigit Moholkar house to Subhashnagar mainroad  at  Prabhag 26.(Subhashnagar mainroad-Hanuman Mandir to Ravikiran Mane House Road)/ PWD_SOL_NOTICE_07_2020_21 / 2020_PWDRP_594157_3',b'Maharashtra',b'2020_PWDRP_594157_3'
b'34346.',b'07-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'MCH/2020/07/33/ MCH/2020/07/33 / 2020_HRY_135708_1',b'Haryana',b'2020_HRY_135708_1'
b'34347.',b'07-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'MCH/2020/07/38/ MCH/2020/07/38 / 2020_HRY_135714_1',b'Haryana',b'2020_HRY_135714_1'
b'34348.',b'30-Jul-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Joniha Chaurahe me pul ke bagal se Ramsajeevan paswan T.C. ke ghar tak C.C.Road Nirman./ 09-343/RED/E-Tender/2020-21 Dated 07.07.2020 / 2020_REDUP_492524_1',b'Uttar Pradesh',b'2020_REDUP_492524_1'
b'34349.',b'30-Sep-2020 12:00 AM',b'15-Jul-2020 09:00 AM',"b'Construction of Bitumenous Road in Krishnacolony to Rohininagar.(Krishnacolony main road to Chitare House-Dabde House road to Mogle House-Verser House at Prabhag 26,Solapur.)/ PWD_SOL_NOTICE_07_2020_21 / 2020_PWDRP_594157_2'",b'Maharashtra',b'2020_PWDRP_594157_2'
b'34350.',b'18-Sep-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Est.No.71/20-21 Providing Repairs to EI and power points in newly formed Corona Wards at sub district hospital Hadgaon Tq Hadgaon Dist Nanded/ E Tender Notice no 09/20-21 Est. No. 71 / 2020_PWDM_594571_1',b'Maharashtra',b'2020_PWDM_594571_1'
b'34331.',b'30-Jul-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Vikash khand Amauli ke gram Budhva me Utsav Bhavan ka Nirman./ 12-343/RED/E-Tender/2020-21 Dated 07.07.2020 / 2020_REDUP_492534_1',b'Uttar Pradesh',b'2020_REDUP_492534_1'
b'34332.',b'19-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',"b'Balance Electrical Work of  6 Nos Type-II Residences and 12 Nos Type-III Residences at RIRD, Dasna, Ghaziabad/ 001/EEE/GZB/E-TENDER/2020-2021 / 2020_SCIDC_493026_1'",b'Uttar Pradesh',b'2020_SCIDC_493026_1'
b'34333.',b'24-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'CMLRRP 2020-21 Sl No-1363 KANJIRATHARA NAMBIKULATHU KAVU MANGALASERRY ROAD IN PATTUVAM GP/ AE/PTVM/ETEN2/20-21 / 2020_LSGD_371820_2',b'Kerala',b'2020_LSGD_371820_2'
b'34334.',b'23-Oct-2020 12:00 AM',b'15-Jul-2020 09:00 AM',"b'Supplying, installation, testing and commissioning of 04 Nos. 52 HP 4R 1040 diesel engine coupled with DSM 80/36 pumps 03 Nos. for Swadeshnagar Section and 01 No. for Mayabunder Section under Sub - Division No.IV EM, NACD, APWD, Mayabunder./ NIT NO.10/EE/NACD/2020-21 / 2020_APWD_488_1'",b'Andaman and Nicobar Island',b'2020_APWD_488_1'
b'34335.',b'04-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'P/F Physical and Children games at K.P.Park/ MCJ/(B and R) 2020-21/10 / 2020_DLG_50524_14',b'Punjab',b'2020_DLG_50524_14'
b'34336.',b'04-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Const. of road in Garha towards entrance of Cantt. In cement concrete./ MCJ/(B and R) 2020-21/10 / 2020_DLG_50524_35',b'Punjab',b'2020_DLG_50524_35'
b'34337.',b'04-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Const. of streets of Khurla kingra in interlocking tiles./ MCJ/(B and R) 2020-21/10 / 2020_DLG_50524_43',b'Punjab',b'2020_DLG_50524_43'
b'34338.',b'23-Jul-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Repairing Of Existing D/System At.Dhawaleshwar Tal.Malegaon Dist.Nashik/ E-TENDER NOTICE NO. 01/2019-20 / 2020_NASHI_594577_1',b'Maharashtra',b'2020_NASHI_594577_1'
b'34339.',b'30-Jul-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Block Deomai Gram Ghoraha Me Main Road Se Prathmik Vidyalaya Tak CC Road Nirman./ 03-343/RED/E-Tender/2020-21 Dated 07.07.2020 / 2020_REDUP_492413_1',b'Uttar Pradesh',b'2020_REDUP_492413_1'
b'34340.',b'04-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Const. of Platform for Charamandi and Const of Shed and Boundary Wall at Jamsher Dairy Complex./ MCJ/(B and R) 2020-21/10 / 2020_DLG_50524_5',b'Punjab',b'2020_DLG_50524_5'
b'34311.',b'03-Aug-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'Repairs to bed dam and providing shuttering arrangement at Karuvattu voikal in T.R.Pattinam./ 05-01/IPH/TN/2020-21 / 2020_PWDC3_6383_1',b'Puducherry UT',b'2020_PWDC3_6383_1'
b'34312.',b'02-Oct-2020 12:00 AM',b'15-Jul-2020 10:00 AM',"b'Providing Water Supply Scheme to P.C. habitations of census Village Dramnala, Motla, Thakoli, Dhullara Kasba, Sihunta Khas in G. P. Dhullara, Motla, Challara, Sihunta  Tehsil Bhattiyat Distt. Chamba  Himachal Pradesh/ No. JSV-DLU-E-Ten/20- 4059-93 / 2020_HPIPH_38897_1'",b'Himachal Pradesh',b'2020_HPIPH_38897_1'
b'34313.',b'02-Oct-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'Provision for Water Supply Scheme Raipur  Khas in G.P. Raipur in Tehsil Bhattiyat District Chamba Himachal Pradesh/ No. JSV-DLU-E-Ten/20- 4014-50 / 2020_HPIPH_38896_1',b'Himachal Pradesh',b'2020_HPIPH_38896_1'
b'34314.',b'24-Sep-2020 12:00 AM',b'15-Jul-2020 10:00 AM',"b'S.T.B.T. TO CHINCHOLI TO SONARI BK ROAD, VR-08, KM. 0/00 TO 1/00 WITH VHP KM. 0/450,   TQ. PHULAMBRI./ ZPA/WORKS/3054/24/62020 / 2020_AURAN_587901_2'",b'Maharashtra',b'2020_AURAN_587901_2'
b'34315.',b'31-Aug-2020 12:00 AM',b'15-Jul-2020 10:00 AM',"b'Providing Functional Household Tap Connection (FHTC) in connection with Jal Jeevan Mission (JJM) under command area of MAHAMMADPUR Water Supply Scheme at Malda Old Block under Malda Division, PHE Dte./ WBPHED/EE/MD/NIeT _02 of 2020-2021 / 2020_PHED_289032_16'",b'West Bengal',b'2020_PHED_289032_16'
b'34316.',b'27-Jul-2020 12:00 AM',b'15-Jul-2020 09:30 AM',b'CONSTRUCTING CHAIN LINK FENCHING&amp;#x0d;\nCOMPOUND TO THAKKAR BAPPA SHED&amp;#x0d;\nAt PANDHRUN Tal. Malegaon Dist.-Nashik/ E TENDER 2020-2021 / 2020_NASHI_594627_1',b'Maharashtra',b'2020_NASHI_594627_1'
b'34317.',b'29-Oct-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Purchase of Street Light material/ MC FEROZEPUR/29-7-2020 / 2020_DLG_50590_5',b'Punjab',b'2020_DLG_50590_5'
b'34318.',b'11-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',b'Const.ofBoundary wall Near Temporary Dump site and composite pits/ EO/NP/BEGOWAL/2020-21/13-719 / 2020_DLG_50591_14',b'Punjab',b'2020_DLG_50591_14'
b'34319.',b'18-Sep-2020 12:00 AM',b'15-Jul-2020 09:00 AM',"b'S.T.B.T. MDR-8 MODHA BK TO ADHARBAN APPROACH TO RAJALWADI MANGROOL ROAD  ROAD, VR-47, KM. 0/00 TO 1/00, TQ. SILLOD, DIST. ABAD./ ZPA/WORKS/5054/2/7/2020 / 2020_AURAN_590485_3'",b'Maharashtra',b'2020_AURAN_590485_3'
b'34320.',b'11-Aug-2020 12:00 AM',b'15-Jul-2020 09:00 AM',"b'Supply of one year computer operator,Bill Distributor of Water/Sewerage Bill and One Peon for Office Through Contractor On D.C/l.C of Punjab for the period of one year/ EO/NP/BEGOWAL/2020-21/13-719 / 2020_DLG_50591_17'",b'Punjab',b'2020_DLG_50591_17'
b'34301.',b'07-Sep-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'CONSTRUCTION OF WBM AND BT ROAD  IN SARSWATI COLONY S T COLONY AT VASUMBE TAL TASGAON DIST SANGLI/ ET 02/2020-21 / 2020_SANGL_593332_5',b'Maharashtra',b'2020_SANGL_593332_5'
b'34302.',b'23-Sep-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'ROAD WORK/ 02/2020/AE/LSGD/ckv / 2020_LSGD_371825_1',b'Kerala',b'2020_LSGD_371825_1'
b'34303.',b'24-Sep-2020 12:00 AM',b'15-Jul-2020 10:00 AM',"b'S.T.B.T. TO CHINCHOLI TO SONARI BK ROAD, VR-08, KM. 0/00 TO 1/00 WITH VHP KM. 0/450,   TQ. PHULAMBRI./ ZPA/WORKS/3054/24/62020 / 2020_AURAN_587901_2'",b'Maharashtra',b'2020_AURAN_587901_2'
b'34304.',b'28-Oct-2020 12:00 AM',b'15-Jul-2020 10:00 AM',"b'Construction of Water Tank of Capacity 2,00,000 litre at Shore Point village under Gram Panchayat Shore Point/ NIT No.27/EE/RCD/APWD/WG/2020-21 / 2020_APWD_500_1'",b'Andaman and Nicobar Island',b'2020_APWD_500_1'
b'34305.',b'23-Jul-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'Supply Of Material For Dalit Wasti Pack Drain Buddha Nagar At Khenda GP Kujba/ ZPNGP_GP/Kujba/Ten-4/2020-21 / 2020_NAGPU_594629_1',b'Maharashtra',b'2020_NAGPU_594629_1'
b'34306.',b'23-Jul-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'Supply Of Material For Dalit Wasti Pack Drain Ambedkar Nagar At Kujba GP Kujba/ ZPNGP_GP/Kujba/Ten-3/2020-21 / 2020_NAGPU_594626_1',b'Maharashtra',b'2020_NAGPU_594626_1'
b'34307.',b'31-Jul-2021 12:00 AM',b'15-Jul-2020 10:00 AM',b'R R Damages on Dhakryana to Sua road Km 0/00 to Km 6/00 SH Providing GSB on various RDs/ 2834-41 / 2020_PWD_38824_1',b'Himachal Pradesh',b'2020_PWD_38824_1'
b'34308.',b'13-Aug-2020 12:00 AM',b'15-Jul-2020 10:00 AM',"b'Supply, Installation and configuration of Server security enterprise level Software (7 users)/ DAVV/ITC/Antivirus/2020-21/1 / 2020_DAVV_97933_1'",b'Madhya Pradesh',b'2020_DAVV_97933_1'
b'34309.',b'06-Oct-2020 12:00 AM',b'15-Jul-2020 10:00 AM',"b'E Tender for Diet with breakfast for Covid 19 Patient under DCH, DCHC and CCC under Beed District/ E Tender / Diet / 2020-21 / 2020_DHS_594472_1'",b'Maharashtra',b'2020_DHS_594472_1'
b'34310.',b'04-Aug-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'WBPWD/EEKIT/E-NIT-019/T/20-21/ WBPWD/EEKIT/E-NIT-019/T/20-21 / 2020_WBPWD_289632_1',b'West Bengal',b'2020_WBPWD_289632_1'
b'34291.',b'03-Sep-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'CONSTRUCTION OF BANDIST GUTTER AT NAVBOUDDHA SAMAJ AT VAJRACHOUNDE TAL TASGAON/ 01/2020-21 / 2020_SANGL_594243_1',b'Maharashtra',b'2020_SANGL_594243_1'
b'34292.',b'21-Nov-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'Providing additional source of Water Supply Scheme Kathiyadi (Karyati) and Benska in G.P. Osal under WSS Sher Bhatouli Guniala in G.P. Osal Tehsil Dalhousie Distt. Chamba (HP)/ No. JSV-DLU-E-Ten/20- 4059-94 / 2020_HPIPH_38898_1',b'Himachal Pradesh',b'2020_HPIPH_38898_1'
b'34293.',b'21-Sep-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'PROVIDING FACILITIES TO SMASHANBHUMI AT VASUMBE TAL TASGAON/ ET 02/2020-21 / 2020_SANGL_593332_1',b'Maharashtra',b'2020_SANGL_593332_1'
b'34294.',b'21-Nov-2020 12:00 AM',b'15-Jul-2020 10:00 AM',"b'Providing Water Supply Scheme to P.C. habitations of census Village  Lodhar Garh, Basolda, Chaladni, Kakroti, Kathla and Nahna in G.P. Kakroti, Kathla and Dhullara in Tehsil Bhattiyat Distt. Chamba (HP)/ No. JSV-DLU-E-Ten/20- 4059-95 / 2020_HPIPH_38899_1'",b'Himachal Pradesh',b'2020_HPIPH_38899_1'
b'34295.',b'04-Aug-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'WBPWD/EEKIT/E-NIT-019/T/20-21/ WBPWD/EEKIT/E-NIT-019/T/20-21 / 2020_WBPWD_289632_1',b'West Bengal',b'2020_WBPWD_289632_1'
b'34296.',b'09-Sep-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'SDRF 2019-20 Vellimala Anappettakongal road in Thenmala G.P&amp;#x0d;/ D.495/2020 ETENDER / 2020_LSGD_371718_13',b'Kerala',b'2020_LSGD_371718_13'
b'34297.',b'19-Nov-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'Construction of Micro-Composting Centres (1.0 M.T. Capacity) at Melarajakularaman and South Venganallur Village Panchayats in Rajapalayam Block of Virudhunagar District under SBM(G) for the year 2019-20 Package no. MCC-01-RJPM/2019-20/ C6/1451/2020 dtd.13.07.2020 / 2020_RDTN_171297_1',b'Tamil Nadu',b'2020_RDTN_171297_1'
b'34298.',b'19-Nov-2020 12:00 AM',b'15-Jul-2020 10:00 AM',"b'Construction of Micro-Composting Centres (1.0 M.T. Capacity) at Anaiyur, Sithurajapuram and Viswanatham  Village Panchayats in Sivakasi Block of Virudhunagar District under SBM(G) for the year 2019-20 Package no. MCC-02-SVK/2019-20/ C6/1451/2020 dtd.13.07.2020 / 2020_RDTN_171297_2'",b'Tamil Nadu',b'2020_RDTN_171297_2'
b'34299.',b'07-Sep-2020 12:00 AM',b'15-Jul-2020 10:00 AM',b'CONSTRUCTION OF WBM AND BT ROAD  IN DATTA COLONY FROM MAIN ROAD TO DADASAHEB EDAKE AT VASUMBE TA TASGAON DIST SANGLI/ ET 02/2020-21 / 2020_SANGL_593332_6',b'Maharashtra',b'2020_SANGL_593332_6'
